"","ReefID","SurveyID","Site","ReefNo","ReefZone","Season","Year","TapeReader","VideoLength","AvgVis","Pseagrass","Species_Richness_Zone","ShannonsH","TotalAbundance","TwoDArea","shape","iso.index","circle","frac","para","perimeter","perimeterarea.ratio","avg_dist.to.all.nearest.reefs","nearest.neighbour","Rugosity","ThreeDArea"
"1","CR01","CR-OP01_C_S2020","OP-CR",1,"Centre","Summer","2020","Chris.P",60,4,0,10,0.343341096957409,116,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"2","CR01","CR-OP01_C_S2021","OP-CR",1,"Centre","Summer","2021","Chris.P",60,4,0,11,0.591135050868837,242,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"3","CR01","CR-OP01_E_S2020","OP-CR",1,"Edge","Summer","2020","Chris.P",60,3,0,15,0.686749768057416,344,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"4","CR01","CR-OP01_E_S2021","OP-CR",1,"Edge","Summer","2021","Chris.P",60,4,0,17,0.632003139448221,951,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"5","CR01","CR-OP01_E_W2020","OP-CR",1,"Edge","Winter","2020","Chris.P",60,3.857142857,0,1,0.338012457691439,408,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"6","CR01","CR-OP01_O_S2020","OP-CR",1,"Off","Summer","2020","Chris.P",60,3.714285714,4.3,13,0.471864082145956,293,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"7","CR01","CR-OP01_O_S2021","OP-CR",1,"Off","Summer","2021","Chris.P",60,4,9.2,16,0.274608579755447,115,124.9646335,1.343478261,0.86,0.334406389,1.134014291,0.494469226,65.97,0.527916964,111.59766,5.694631781,1.326,73.88
"8","CR02","CR-OP02_C_S2020","OP-CR",2,"Centre","Summer","2020","Chris.P",60,4,0,11,0.303786314691173,237,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"9","CR02","CR-OP02_C_S2021","OP-CR",2,"Centre","Summer","2021","Chris.P",60,2.285714286,0,10,0.445588801921369,59,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"10","CR02","CR-OP02_E_S2020","OP-CR",2,"Edge","Summer","2020","Chris.P",60,4,0,17,0.222491949139908,538,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"11","CR02","CR-OP02_E_S2021","OP-CR",2,"Edge","Summer","2021","Chris.P",61,3.714285714,0,16,0.34108935676744,87,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"12","CR02","CR-OP02_E_W2019","OP-CR",2,"Edge","Winter","2019","Katie.E",60,3.714285714,0,2,0.562335144618808,4,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"13","CR02","CR-OP02_E_W2020","OP-CR",2,"Edge","Winter","2020","Chris.P",60,2.714285714,0,5,0.670008979827427,84,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"14","CR02","CR-OP02_O_S2021","OP-CR",2,"Off","Summer","2021","Chris.P",60,4,0,15,0.990439949560719,196,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"15","CR02","CR-OP02_O_W2019","OP-CR",2,"Off","Winter","2019","Katie.E",60,3.571428571,0,3,0.206192050633232,19,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"16","CR02","CR-OP02_O_W2020","OP-CR",2,"Off","Winter","2020","Chris.P",60,4,0,7,0.78335080310777,7,85.25778741,1.205263158,0.76,0.333643897,1.09684932,0.537322188,45.5,0.533642866,97.7802902,5.694631781,1.413,63.67
"17","CR04","CR-OP04_C_S2020","OP-CR",4,"Centre","Summer","2020","Chris.P",60,4,0,8,1.56071179034213,57,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"18","CR04","CR-OP04_C_S2021","OP-CR",4,"Centre","Summer","2021","Chris.P",60,4,0,9,0.590053415901881,44,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"19","CR04","CR-OP04_E_S2021","OP-CR",4,"Edge","Summer","2021","Chris.P",60,3.857142857,0,16,2.01069146670079,382,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"20","CR04","CR-OP04_E_W2019","OP-CR",4,"Edge","Winter","2019","Katie.E",60,4,0,6,0.847145897908156,1244,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"21","CR04","CR-OP04_E_W2020","OP-CR",4,"Edge","Winter","2020","Chris.P",60,2,0,3,0.562335144618808,12,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"22","CR04","CR-OP04_O_S2020","OP-CR",4,"Off","Summer","2020","Chris.P",60,3,13.3,10,1.48855605030123,32,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"23","CR04","CR-OP04_O_S2021","OP-CR",4,"Off","Summer","2021","Chris.P",60,4,0,19,1.4445449227471,236,11.91994935,1.161111111,0.17,0.347596266,1.189509838,1.296526055,16.55,1.388815213,80.44323194,2.671606122,1.702,15.37
"24","CR05","CR-OP05_C_S2021","OP-CR",5,"Centre","Summer","2021","Sophie.R",60,3,0,12,0.691047847906671,100,16.12355196,1.492857143,0.17,0.561421316,1.334390295,1.753355705,16.52,1.024640293,83.57625671,6.067512584,1.92,19.58
"25","CR05","CR-OP05_E_W2019","OP-CR",5,"Edge","Winter","2019","Katie.E",60,4,0,4,0.214559155176405,18,16.12355196,1.492857143,0.17,0.561421316,1.334390295,1.753355705,16.52,1.024640293,83.57625671,6.067512584,1.92,19.58
"26","CR05","CR-OP05_E_W2020","OP-CR",5,"Edge","Winter","2020","Chris.P",60,2,0,3,0.606016568304245,181,16.12355196,1.492857143,0.17,0.561421316,1.334390295,1.753355705,16.52,1.024640293,83.57625671,6.067512584,1.92,19.58
"27","CR05","CR-OP05_O_S2020","OP-CR",5,"Off","Summer","2020","Chris.P",60,3.142857143,35.9,11,0.174036287683922,43,16.12355196,1.492857143,0.17,0.561421316,1.334390295,1.753355705,16.52,1.024640293,83.57625671,6.067512584,1.92,19.58
"28","CR05","CR-OP05_O_S2021","OP-CR",5,"Off","Summer","2021","Chris.P",60,3.714285714,0,17,1.49169514363026,47,16.12355196,1.492857143,0.17,0.561421316,1.334390295,1.753355705,16.52,1.024640293,83.57625671,6.067512584,1.92,19.58
"29","CR06","CR-OP06_C_S2021","OP-CR",6,"Centre","Summer","2021","Chris.P",60,4,0,8,0.296557454787108,13,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"30","CR06","CR-OP06_E_S2020","OP-CR",6,"Edge","Summer","2020","Chris.P",60,2.142857143,0,4,0.191444081957717,1,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"31","CR06","CR-OP06_E_S2021","OP-CR",6,"Edge","Summer","2021","Chris.P",60,3.285714286,0,13,0.915696172000541,33,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"32","CR06","CR-OP06_E_W2019","OP-CR",6,"Edge","Winter","2019","Katie.E",60,4,0,4,1.05492016798614,5,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"33","CR06","CR-OP06_E_W2020","OP-CR",6,"Edge","Winter","2020","Chris.P",60,4,0,4,0.636514168294813,3,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"34","CR06","CR-OP06_O_S2020","OP-CR",6,"Off","Summer","2020","Chris.P",60,1.714285714,0,6,0.636514168294813,3,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"35","CR06","CR-OP06_O_S2021","OP-CR",6,"Off","Summer","2021","Chris.P",60,4,0,13,0.600742511810956,82,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"36","CR06","CR-OP06_O_W2020","OP-CR",6,"Off","Winter","2020","Chris.P",60,3.857142857,0,5,0.598269588585257,7,2072.904284,2.832065217,0.1,0.472967164,1.275327074,0.251386946,505.02,0.243628712,41.28149337,2.671606122,1.35,2652.19
"37","CR07","CR-OP07_C_S2020","OP-CR",7,"Centre","Summer","2020","Chris.P",60,2.142857143,0,5,0.0486177618963041,14,90.22619069,1.5175,0.4,0.415644289,1.208121235,0.67278118,54.6,0.605108667,59.61685848,10.207163,1.299,116.62
